NameSup,CueSup,TestSup,AnswerSup,NameSub,CueSub,TestSub,AnswerSub,SupraTrials.thisRepN,SupraTrials.thisTrialN,SupraTrials.thisN,SupraTrials.thisIndex,SupraTests.thisRepN,SupraTests.thisTrialN,SupraTests.thisN,SupraTests.thisIndex,DistractorTrials.thisRepN,DistractorTrials.thisTrialN,DistractorTrials.thisN,DistractorTrials.thisIndex,SubliTrials.thisRepN,SubliTrials.thisTrialN,SubliTrials.thisN,SubliTrials.thisIndex,SubliTests.thisRepN,SubliTests.thisTrialN,SubliTests.thisN,SubliTests.thisIndex,polygon1.started,polygon1.stopped,welcome.started,welcome.stopped,polygon.started,polygon.stopped,ForenameSup.started,ForenameSup.stopped,CueSup1.started,CueSup1.stopped,BlankSup.started,BlankSup.stopped,polygon_2.started,polygon_2.stopped,dis1.started,dis1.stopped,polygon_3.started,polygon_3.stopped,instruction.started,instruction.stopped,dis1key.keys,dis1key.rt,dis1key.started,dis1key.stopped,polygon_4.started,polygon_4.stopped,suptest.started,suptest.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,distractor1.started,distractor1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_7.started,polygon_7.stopped,textphase2.started,textphase2.stopped,polygon_6.started,polygon_6.stopped,ForenameSub.started,ForenameSub.stopped,Mask1.started,Mask1.stopped,Cue.started,Cue.stopped,Mask2.started,Mask2.stopped,blank1.started,blank1.stopped,polygon_8.started,polygon_8.stopped,SubTest.started,SubTest.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,age,sex,occupation,date,expName,psychopyVersion,frameRate,
Tobie,FORGET,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,83.33168709999882,None,83.33168709999882,None,90.88331140000082,None,90.88331140000082,92.12961920000089,92.10770960000809,93.30702710000332,93.28112630000396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Stacy,REMEMBER,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,93.6486886000057,None,93.6486886000057,94.85956680000527,94.83244600000035,96.04373470001156,96.04373470001156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Kourt,REMEMBER,,,,,,,0,2,2,18,,,,,,,,,,,,,,,,,,,,,97.01677650000784,None,97.01677650000784,98.23148250000668,98.22085820000211,99.42598359999829,99.41622880000796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Raven,FORGET,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,100.45890820000204,None,100.45890820000204,101.67794960000901,101.64987950000796,102.86425400000007,102.86425400000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Robin,FORGET,,,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,103.79763650000677,None,103.79763650000677,104.9926395000075,104.98151380001218,106.19153960001131,106.18266510000103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Shawn,REMEMBER,,,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,107.21593580000626,None,107.21593580000626,108.43245830001251,108.40937540000596,109.62767610000446,109.60932190000312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Tammy,FORGET,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,110.65593960000842,None,110.65593960000842,111.86424400001124,111.84378380000999,113.04580320000241,113.04580320000241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Missy,REMEMBER,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,114.04557630000636,None,114.04557630000636,115.25906180001039,115.23095260000264,116.44720190000953,116.44720190000953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Marty,REMEMBER,,,,,,,0,8,8,16,,,,,,,,,,,,,,,,,,,,,117.44108220000635,None,117.44108220000635,118.64082800000324,118.6305766000005,119.84606130000611,119.82610120000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Julio,FORGET,,,,,,,0,9,9,15,,,,,,,,,,,,,,,,,,,,,120.84166330000153,None,120.84166330000153,122.06148950000352,122.03292230000079,123.24310340000375,123.21436990000075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Walter,REMEMBER,,,,,,,0,10,10,14,,,,,,,,,,,,,,,,,,,,,124.22685230000934,None,124.22685230000934,125.44222090000403,125.41354160000628,126.62551530000928,126.62551530000928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Karla,FORGET,,,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,127.61198520001199,None,127.61198520001199,128.81200770000578,128.79948340001283,130.0111767000053,129.99222090000694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
Wendy,FORGET,,,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,131.01723770001263,None,131.01723770001263,132.2246065000072,132.2136986000114,133.4252933000098,133.4252933000098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Nov_06_0521,XPPSYCH,2020.2.5,60.0557317151768,
